artist_name,total_events,capital_events,non_capital_events,pct_capital,capital_ratio,unique_capitals,unique_non_capitals,pct_capital_cities,listeners
$uicideboy$,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1566028
2hollis,6,1.0,5.0,16.67,0.2,1.0,5.0,16.67,768586
5 Seconds of Summer,67,7.0,60.0,10.45,0.117,7.0,58.0,10.77,2232532
A Boogie wit da Hoodie,5,1.0,4.0,20.0,0.25,1.0,4.0,20.0,1428627
A$AP Rocky,39,6.0,33.0,15.38,0.182,6.0,33.0,15.38,3394952
AC/DC,22,0.0,22.0,0.0,0.0,0.0,18.0,0.0,4513531
Addison Rae,1,1.0,0.0,100.0,,1.0,0.0,100.0,1494360
Adele,9,0.0,9.0,0.0,0.0,0.0,3.0,0.0,5569703
Aerosmith,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4690552
Air,28,0.0,28.0,0.0,0.0,0.0,24.0,0.0,3185604
Akon,65,13.0,52.0,20.0,0.25,7.0,49.0,12.5,3697066
Alex G,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2030167
Alex Warren,49,7.0,42.0,14.29,0.167,4.0,41.0,8.89,926999
Alice in Chains,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3414720
All Time Low,4,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2546739
America,16,0.0,16.0,0.0,0.0,0.0,16.0,0.0,2111449
Amy Winehouse,36,3.0,33.0,8.33,0.091,2.0,33.0,5.71,4585281
Anitta,1,1.0,0.0,100.0,,1.0,0.0,100.0,1191976
Arctic Monkeys,1,1.0,0.0,100.0,,1.0,0.0,100.0,7022313
Ariana Grande,41,10.0,31.0,24.39,0.323,1.0,10.0,9.09,4410853
Artemas,7,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1581554
Ashnikko,32,0.0,32.0,0.0,0.0,0.0,32.0,0.0,1439477
Avenged Sevenfold,16,0.0,16.0,0.0,0.0,0.0,16.0,0.0,2845366
BTS,39,6.0,33.0,15.38,0.182,3.0,13.0,18.75,2320497
